id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
357,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,2:30,07h 30m,420,19,3.371913528,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Goa to Kolhapur(Maharashtra)
358,IntrCity SmartBus,AC Sleeper (2+1),16:00,21:45,05h 45m,650,4,2.328568028,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Goa to Kolhapur(Maharashtra)
359,Neeta tours and travels,AC Sleeper (2+1),16:00,19:00,03h 00m,550,19,4.40258857,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Goa to Kolhapur(Maharashtra)
360,IntrCity SmartBus,AC Sleeper (2+1),17:30,23:50,06h 20m,650,7,4.972130645,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Goa to Kolhapur(Maharashtra)
361,Vaibhav Travels,A/C Sleeper (2+1),20:00,6:12,10h 12m,600,6,4.861631244,https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Goa to Kolhapur(Maharashtra)
362,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,8:30,13h 30m,850,19,3.022104721,https://www.redbus.in/bus-tickets/goa-to-solapur,Goa to Solapur
363,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,4:30,09h 30m,1550,2,2.65346742,https://www.redbus.in/bus-tickets/goa-to-solapur,Goa to Solapur
364,IntrCity SmartBus,AC Sleeper (2+1),16:00,3:00,11h 00m,1233,1,2.533574607,https://www.redbus.in/bus-tickets/goa-to-solapur,Goa to Solapur
365,S R Travels,A/C Seater/Sleeper (2+1),20:30,7:30,11h 00m,500,30,5.379763303,https://www.redbus.in/bus-tickets/goa-to-solapur,Goa to Solapur
366,PVS Tours and Travels,A/C Sleeper (2+1),21:00,9:00,12h 00m,2950,36,3.533859382,https://www.redbus.in/bus-tickets/goa-to-solapur,Goa to Solapur
367,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,4:00,09h 00m,490,19,3.704243413,https://www.redbus.in/bus-tickets/goa-to-sangli,Goa to Sangli
